Movement:1, 22/05/2018, 12:35:42, -3.873363, 52.401565, -3.873527, 52.401836, 32.122248m, 2s, 16.061124m/s, Moving
Movement:2, 22/05/2018, 12:35:44, -3.869875, 52.397815, -3.873363, 52.401565, 479.451851m, 2s, 239.725925m/s, Moving
Movement:3, 22/05/2018, 12:35:45, -3.869870, 52.397804, -3.869875, 52.397815, 1.269317m, 1s, 1.269317m/s, Moving
Movement:4, 22/05/2018, 12:35:46, -3.869868, 52.397792, -3.869870, 52.397804, 1.341221m, 1s, 1.341221m/s, Moving
Movement:5, 22/05/2018, 12:35:47, -3.869895, 52.397800, -3.869868, 52.397792, 2.036468m, 1s, 2.036468m/s, Moving
Movement:6, 22/05/2018, 12:36:07, -3.869887, 52.397708, -3.869895, 52.397800, 10.244323m, 20s, 0.512216m/s, Moving
Movement:7, 22/05/2018, 12:36:09, -3.869888, 52.397697, -3.869887, 52.397708, 1.225025m, 2s, 0.612512m/s, Moving
Movement:8, 00/00/0000, 00:00:00, 0.000000, 0.000000, -3.869888, 52.397697, 5837538.444048m, 45369s, 128.667999m/s, Moving
Movement:9, 22/05/2018, 12:36:24, -3.869675, 52.397502, 0.000000, 0.000000, 5837515.610222m, 45384s, 128.624969m/s, Moving
Movement:10, 22/05/2018, 12:36:25, -3.869673, 52.397483, -3.869675, 52.397502, 2.117057m, 1s, 2.117057m/s, Moving
Movement:11, 22/05/2018, 12:36:26, -3.869685, 52.397476, -3.869673, 52.397483, 1.126389m, 1s, 1.126389m/s, Moving
Movement:12, 22/05/2018, 12:36:27, -3.869698, 52.397480, -3.869685, 52.397476, 0.987834m, 1s, 0.987834m/s, Moving
Movement:13, 22/05/2018, 12:36:28, -3.869707, 52.397491, -3.869698, 52.397480, 1.367100m, 1s, 1.367100m/s, Moving
Movement:14, 22/05/2018, 12:36:29, -3.869712, 52.397495, -3.869707, 52.397491, 0.559389m, 1s, 0.559389m/s, Moving
Movement:15, 22/05/2018, 12:36:30, -3.869722, 52.397506, -3.869712, 52.397495, 1.398724m, 1s, 1.398724m/s, Moving
Movement:16, 22/05/2018, 12:36:31, -3.869737, 52.397525, -3.869722, 52.397506, 2.345058m, 1s, 2.345058m/s, Moving
Movement:17, 22/05/2018, 12:36:32, -3.869752, 52.397533, -3.869737, 52.397525, 1.351701m, 1s, 1.351701m/s, Moving
Movement:18, 22/05/2018, 12:36:34, -3.869770, 52.397560, -3.869752, 52.397533, 3.241158m, 2s, 1.620579m/s, Moving
Movement:19, 22/05/2018, 12:36:35, -3.869773, 52.397571, -3.869770, 52.397560, 1.239965m, 1s, 1.239965m/s, Moving
Movement:20, 22/05/2018, 12:36:36, -3.869785, 52.397586, -3.869773, 52.397571, 1.856035m, 1s, 1.856035m/s, Moving
Movement:21, 22/05/2018, 12:36:48, -3.869840, 52.397670, -3.869785, 52.397586, 10.058231m, 12s, 0.838186m/s, Moving
Movement:22, 22/05/2018, 12:36:49, -3.869843, 52.397678, -3.869840, 52.397670, 0.912550m, 1s, 0.912550m/s, Moving
Movement:23, 22/05/2018, 12:36:50, -3.869845, 52.397674, -3.869843, 52.397678, 0.465019m, 1s, 0.465019m/s, Moving
Movement:24, 22/05/2018, 12:37:14, -3.869873, 52.397720, -3.869845, 52.397674, 5.456370m, 24s, 0.227349m/s, Moving
